Rhode Island,Rhode%20Island
"Providence, RI",Providence%2C%20RI
"Central Falls, RI",Central%20Falls%2C%20RI
"Pawtucket, RI",Pawtucket%2C%20RI
SC,SC
South Carolina,South%20Carolina
"Charleston, SC",Charleston%2C%20SC
"Columbia, SC",Columbia%2C%20SC
"Greenville, SC",Greenville%2C%20SC
SD,SD
South Dakota,South%20Dakota
"Sioux Falls, SD",Sioux%20Falls%2C%20SD
TN,TN
Tennessee,Tennessee
"Chattanooga, TN",Chattanooga%2C%20TN
"Knoxville, TN",Knoxville%2C%20TN
"Memphis, TN",Memphis%2C%20TN
"Nashville, TN",Nashville%2C%20TN
TX,TX
Texas,Texas
"Austin, TX",Austin%2C%20TX
"Dallas, TX",Dallas-Fort%20Worth%2C%20TX
"Fort Worth, TX",Dallas-Fort%20Worth%2C%20TX
"El Paso, TX",El Paso%2C%20TX
"Houston, TX",Houston%2C%20TX
"McAllen, TX",McAllen%2C%20TX
"San Antonio, TX",San%20Antonio%2C%20TX
UT,UT
Utah,Utah
"Provo, UT",Provo%2C%20UT
"Salt Lake City, UT",Salt%20Lake%20City%2C%20UT
VT,VT
Vermont,Vermont
"Burlington, VT",Burlington%2C%20VT
VA,VA
Virginia,Virginia
"Richmond, VA",Richmond%2C%20VA
"Virginia Beach, VA",Virginia%20Beach-Norfolk-Newport%20News%2C%20VA
"Norfolk, VA",Virginia%20Beach-Norfolk-Newport%20News%2C%20VA
"Newport News, VA",Virginia%20Beach-Norfolk-Newport%20News%2C%20VA
"Arlington, VA",Arlington%2C%20VA
WA,WA
Washington,Washington
"Seattle, WA",Seattle%2C%20WA
"Tacoma, WA",Tacoma%2C%20WA
WV,WV
West Virginia,West%20Virginia
"Morgantown, WV",Morgantown%2C%20WV
WI,WI
Wisconsin,Wisconsin
"Milwaukee, WI",Milwaukee%2C%20WI
"Madison, WI",Madison%2C%20WI
WY,WY
Wyoming,Wyoming
"Cheyenne, WY",Cheyenne%2C%20WY
